time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
1,38,2031616,152.93,-14.6907,211,,,,,,,,,,,,
2,71,2039808,148.15,-13.991800000000003,230,0.7853668928146362,992,0.025408633,-1.669279396533966,0.0003,0.4836168885231018,1.8042909605428576,0.266815185546875,-0.00856927576387534,0.2,,
3,104,2048000,152.85,-14.846299999999996,234,0.7308851480484009,996,0.024314456,-1.6338800508528948,0.0003,0.42525333166122437,1.9341325759887695,0.267974853515625,-0.006309752425295301,0.2,,
4,139,2056192,156.89,-15.6218,234,0.7404592633247375,1000,0.028428951,-1.5516387531533837,0.0003,0.5201722085475922,1.9472102029249072,0.275421142578125,-0.006320806260191603,0.2,,
5,174,2064384,152.88,-14.834100000000001,234,0.8278385400772095,1004,0.02472071,-1.5704977717250586,0.0003,0.35942918062210083,2.29121729452163,0.27642822265625,-0.010706301465688739,0.2,,
6,208,2072576,152.12,-14.7535,236,0.9348607063293457,1008,0.023775138,-1.602328517474234,0.0003,0.44948333501815796,2.214424149133265,0.25177001953125,-0.007336237187701045,0.2,,
,,2073424,,,,0.7178724408149719,1012,0.025718756,-1.6233292231336236,0.0003,0.3702598214149475,1.9891818780452013,0.29302978515625,-0.009734325158206047,0.2,-16.348,160.0
7,255,2080768,156.22,-15.544199999999998,224,,,,,,,,,,,,
8,289,2088960,157.78,-15.7,226,0.8917593955993652,1016,0.02896091,-1.586283807642758,0.0003,0.4458404779434204,2.248251648619771,0.2877197265625,-0.0075777629754156806,0.2,,
9,321,2097152,154.29,-15.093200000000003,229,1.287858486175537,1020,0.027318535,-1.6687908610329032,0.0003,0.2954784035682678,2.2178936284035444,0.28021240234375,-0.00950010522865341,0.2,,
10,357,2105344,153.97,-15.049699999999998,229,0.8304099440574646,1024,0.023435585,-1.6482539027929306,0.0003,0.3646508455276489,2.1397695746272802,0.253021240234375,-0.0057880241474776994,0.2,,
11,390,2113536,152.47,-14.6862,230,0.5887535214424133,1028,0.01968415,-1.6351782055571675,0.0003,0.4474823474884033,2.107087961398065,0.2412109375,-0.010014035819040146,0.2,,
12,422,2121728,155.42,-15.2301,232,0.6223658323287964,1032,0.024645831,-1.6456947783008218,0.0003,0.4943128824234009,2.180623611435294,0.263153076171875,-0.006841262049420038,0.2,,
,,2123424,,,,0.42968305945396423,1036,0.025843058,-1.6354974135756493,0.0003,0.4605366587638855,1.8284237813204527,0.268798828125,-0.008567172262701206,0.2,-16.12,160.0
13,476,2129920,155.11,-15.302400000000002,223,,,,,,,,,,,,
14,511,2138112,155.37,-15.320699999999999,224,1.1245747804641724,1040,0.022782404,-1.534236111678183,0.0003,0.39152878522872925,2.593211797066033,0.23944091796875,-0.006297216687016771,0.2,,
15,544,2146304,157.72,-15.8102,225,0.701756477355957,1044,0.024789084,-1.5133672822266817,0.0003,0.3342794179916382,2.0812847884371877,0.260101318359375,-0.007476444567146245,0.2,,
16,579,2154496,157.21,-15.799100000000003,226,0.986392080783844,1048,0.022653272,-1.5109349358826876,0.0003,0.3915208578109741,1.9064382333308458,0.254302978515625,-0.007755233320494881,0.2,,
17,614,2162688,152.62,-14.959699999999998,226,0.9201850295066833,1052,0.024637133,-1.5736464951187372,0.0003,0.38707852363586426,2.2385076405480504,0.27069091796875,-0.00837094425514806,0.2,,
18,649,2170880,149.14,-14.0584,227,0.7135708928108215,1056,0.024701715,-1.5415351120755076,0.0003,0.45761531591415405,2.1467873668298125,0.266082763671875,-0.005357331559935119,0.2,,
,,2173424,,,,0.7648174166679382,1060,0.022876455,-1.5261518359184265,0.0003,0.3455297350883484,2.482031786814332,0.249298095703125,-0.004447110048204195,0.2,-16.008000000000003,160.0
19,698,2179072,146.88,-13.586600000000002,222,,,,,,,,,,,,
20,731,2187264,149.25,-14.185900000000002,223,1.1629054546356201,1064,0.025034185,-1.5705789430066943,0.0003,0.45941489934921265,2.452767918817699,0.255828857421875,-0.005458767587697366,0.2,,
21,766,2195456,156.31,-15.509799999999998,224,0.7102423310279846,1068,0.024844784,-1.6362464586272836,0.0003,0.4530128240585327,2.099892683327198,0.279205322265625,-0.00816953923276742,0.2,,
22,800,2203648,155.75,-15.3604,225,0.5793269276618958,1072,0.02755327,-1.6168579095974565,0.0003,0.5393578708171844,1.939863090403378,0.2744140625,-0.009195255654049106,0.2,,
23,834,2211840,150.51,-14.2564,225,0.7535632252693176,1076,0.02312987,-1.579346233047545,0.0003,0.5286758244037628,2.1863688956946135,0.2510986328125,-0.00839982458637678,0.2,,
24,866,2220032,149.02,-13.995899999999999,226,1.4103198051452637,1080,0.028336167,-1.613736310042441,0.0003,0.46171557903289795,2.4931839909404516,0.293975830078125,-0.0044007568212691694,0.2,,
,,2223424,,,,0.8495593667030334,1084,0.0255608,-1.6372674508020282,0.0003,0.5264920890331268,1.8909345120191574,0.276397705078125,-0.008129141810059082,0.2,-16.194,160.0
25,913,2228224,150.43,-14.3491,224,,,,,,,,,,,,
26,946,2236416,153.79,-15.038300000000001,225,0.4623511731624603,1088,0.028505336,-1.679240845143795,0.0003,0.46356451511383057,1.9719262104481459,0.269256591796875,-0.008185054684872739,0.2,,
27,978,2244608,157.16,-15.7182,226,0.6687901020050049,1092,0.027816193,-1.6347943153232336,0.0003,0.4846242070198059,1.8133853478357196,0.28192138671875,-0.012228547559061553,0.2,,
28,1009,2252800,158.55,-15.959500000000002,227,0.9364551305770874,1096,0.021771174,-1.6570389801636338,0.0003,0.659895271062851,1.8362337229773402,0.26513671875,-0.009730513571412303,0.2,,
29,1041,2260992,151.09,-14.53,228,0.7121663093566895,1100,0.023658242,-1.6195910992100835,0.0003,0.4707421064376831,2.074331410229206,0.259429931640625,-0.008603079000749858,0.2,,
30,1074,2269184,151.39,-14.4497,228,1.2067673206329346,1104,0.028591812,-1.6547149186953902,0.0003,0.40444302558898926,2.5550744915381074,0.2867431640625,-0.005882303128601052,0.2,,
,,2273424,,,,0.8023070693016052,1108,0.026627708,-1.556430752389133,0.0003,0.597397655248642,1.9857752667739987,0.275054931640625,-0.0066611473412194755,0.2,-16.0,160.0
31,1124,2277376,151.05,-14.377699999999997,225,,,,,,,,,,,,
32,1156,2285568,150.06,-14.3778,226,0.6298202276229858,1112,0.026800154,-1.606280392035842,0.0003,0.5042303800582886,2.014169408939779,0.2841796875,-0.00440181337762624,0.2,,
33,1189,2293760,147.69,-13.9528,227,0.7287901639938354,1116,0.027585678,-1.6165006216615438,0.0003,0.5501732528209686,1.7087992350570858,0.28118896484375,-0.010851346465642564,0.2,,
34,1221,2301952,148.42,-14.050899999999999,227,0.9138303399085999,1120,0.030981803,-1.6171728195622563,0.0003,0.4839423894882202,2.047563597559929,0.297149658203125,-0.005990886422296171,0.2,,
35,1254,2310144,154.54,-15.1347,228,0.7117587924003601,1124,0.026410367,-1.5989571856334805,0.0003,0.5078894197940826,1.7890611374750733,0.276214599609375,-0.006876493858726462,0.2,,
36,1286,2318336,153.55,-14.711000000000002,229,1.36039400100708,1128,0.024900803,-1.586238314397633,0.0003,0.5005936920642853,1.9254607446491718,0.285919189453125,-0.010383895998529624,0.2,,
,,2323424,,,,0.8960154056549072,1132,0.025709812,-1.603051965124905,0.0003,0.48371875286102295,2.2171252835541964,0.262939453125,-0.005558495864534052,0.2,-16.354,160.0
37,1334,2326528,153.49,-14.800600000000001,227,,,,,,,,,,,,
38,1370,2334720,155.39,-15.320699999999999,227,0.8013902902603149,1136,0.025747713,-1.6212149411439896,0.0003,0.5161436200141907,1.7691326048225164,0.278472900390625,-0.006704185498165316,0.2,,
39,1404,2342912,155.53,-15.322000000000001,227,0.6933065056800842,1140,0.02287555,-1.6602001069113612,0.0003,0.509635865688324,1.8360893903300166,0.259674072265625,-0.012682438147749053,0.2,,
40,1438,2351104,155.89,-15.343300000000001,227,0.8577921986579895,1144,0.024416322,-1.6190300527960062,0.0003,0.4963383674621582,1.9878806411288679,0.25079345703125,-0.009181672627164517,0.2,,
41,1473,2359296,159.43,-16.056500000000003,227,0.988749086856842,1148,0.024559848,-1.5954771656543016,0.0003,0.5109902918338776,2.060785603709519,0.269775390625,-0.008706951117346762,0.2,,
42,1507,2367488,156.85,-15.582699999999999,228,0.8875541687011719,1152,0.023286227,-1.6310503333806992,0.0003,0.4774397015571594,1.7766971183009446,0.26800537109375,-0.00789374124724418,0.2,,
,,2373424,,,,0.8391580581665039,1156,0.02267899,-1.7083830395713449,0.0003,0.45301371812820435,2.2673741532489657,0.256256103515625,-0.00786412100023881,0.2,-16.0,160.0
43,1556,2375680,156.85,-15.575899999999995,226,,,,,,,,,,,,
44,1589,2383872,157.73,-15.742499999999998,226,1.2619085311889648,1160,0.023364395,-1.661929470486939,0.0003,0.3942677974700928,2.1162779899314046,0.282867431640625,-0.009941674277797574,0.2,,
45,1622,2392064,155.88,-15.381599999999999,227,0.9254853129386902,1164,0.02436361,-1.6924276780337095,0.0003,0.2787889838218689,2.1344758551567793,0.26898193359375,-0.0066669747975538485,0.2,,
46,1656,2400256,155.57,-15.3611,227,0.7562146186828613,1168,0.023164012,-1.630401385948062,0.0003,0.41070687770843506,2.196547574363649,0.264190673828125,-0.007583196762425359,0.2,,
47,1691,2408448,156.41,-15.515700000000002,227,0.8018029928207397,1172,0.023900807,-1.6789389187470078,0.0003,0.41358059644699097,2.1609543077647686,0.243621826171875,-0.006953671905648662,0.2,,
48,1725,2416640,155.04,-15.12,227,0.8208175301551819,1176,0.023387501,-1.6774701829999685,0.0003,0.44068604707717896,2.086217206902802,0.27215576171875,-0.008696176300873049,0.2,,
,,2423424,,,,0.9747680425643921,1180,0.02410127,-1.6778300469741225,0.0003,0.36034518480300903,2.328705412335694,0.27264404296875,-0.006635167579588597,0.2,-16.4,160.0
49,1776,2424832,154.5,-15.216000000000001,225,,,,,,,,,,,,
50,1809,2433024,156.9,-15.7324,226,0.8856922388076782,1184,0.025738481,-1.6895951172336936,0.0003,0.40034806728363037,1.8737563444301486,0.26763916015625,-0.007473677536836476,0.2,,
51,1844,2441216,160.0,-16.2177,226,0.6824074983596802,1188,0.024005454,-1.6882892865687609,0.0003,0.422809898853302,1.8806425351649523,0.269744873046875,-0.009281265582103515,0.2,,
52,1879,2449408,154.04,-15.052599999999995,226,0.9935118556022644,1192,0.020860918,-1.6456787958741188,0.0003,0.4303141236305237,2.0376301873475313,0.2322998046875,-0.010779545020341175,0.2,,
53,1916,2457600,151.18,-14.547300000000002,226,0.450961172580719,1196,0.026344188,-1.6613017059862614,0.0003,0.31069719791412354,2.4620944587513804,0.260009765625,-0.007699555288127158,0.2,,
54,1954,2465792,156.22,-15.5179,226,1.3326786756515503,1200,0.024754131,-1.6210448136553168,0.0003,0.34619396924972534,2.4572001043707132,0.259002685546875,-0.0067381617409409955,0.2,,
,,2473424,,,,0.8334701657295227,1204,0.022668354,-1.6264142729341984,0.0003,0.39886629581451416,1.966134436428547,0.258880615234375,-0.010100596315169241,0.2,-16.0,160.0
55,2007,2473984,156.18,-15.490599999999999,224,,,,,,,,,,,,
56,2040,2482176,152.97,-14.7544,224,0.6201525330543518,1208,0.026401287,-1.6354210479184985,0.0003,0.39397674798965454,2.2825190192088485,0.270111083984375,-0.008138911638525315,0.2,,
57,2072,2490368,149.64,-13.972500000000002,225,1.7613751888275146,1212,0.023028344,-1.647037730552256,0.0003,0.39891916513442993,2.405029450543225,0.25579833984375,-0.009104946879233466,0.2,,
58,2106,2498560,153.77,-14.892999999999999,225,0.7832554578781128,1216,0.026599223,-1.7484954176470637,0.0003,0.4499651789665222,2.1155770290642977,0.28607177734375,-0.007516790043155197,0.2,,
59,2142,2506752,158.57,-15.9711,225,1.2083265781402588,1220,0.025114905,-1.6814264860004187,0.0003,0.5343903601169586,1.8888088930398226,0.2789306640625,-0.008943672186433105,0.2,,
60,2177,2514944,154.74,-15.242200000000002,225,0.5194042921066284,1224,0.023928933,-1.69804978184402,0.0003,0.4850229024887085,1.7486329195089638,0.26617431640625,-0.012506743438279955,0.2,,
61,2213,2523136,153.82,-15.012599999999999,225,1.4235354661941528,1228,0.024145056,-1.5874545807018876,0.0003,0.45859795808792114,2.405162467621267,0.2572021484375,-0.006570167472091271,0.2,,
,,2523424,,,,1.1090322732925415,1232,0.025153527,-1.680017520673573,0.0003,0.426774263381958,2.31932017672807,0.288482666015625,-0.006589174787222873,0.2,-16.0,160.0
62,2264,2531328,155.1,-15.2787,224,,,,,,,,,,,,
63,2297,2539520,154.57,-15.118900000000002,224,0.5593140125274658,1236,0.024207298,-1.6532615600153804,0.0003,0.4374135136604309,2.1053025079891086,0.254852294921875,-0.005773061202489771,0.2,,
64,2333,2547712,152.99,-14.808799999999998,224,1.415391445159912,1240,0.024726655,-1.5927164405584335,0.0003,0.5007773041725159,2.32133318670094,0.256500244140625,-0.006961075163417263,0.2,,
65,2367,2555904,153.69,-14.9801,224,0.7281882762908936,1244,0.02285884,-1.682982612401247,0.0003,0.4368671774864197,2.279559844173491,0.272552490234375,-0.008902508569008205,0.2,,
66,2403,2564096,155.11,-15.237599999999995,224,0.62596595287323,1248,0.025155444,-1.7120736492797732,0.0003,0.36850273609161377,1.94044507201761,0.278564453125,-0.0079637854360044,0.2,,
67,2437,2572288,153.41,-14.947000000000003,225,0.7629567384719849,1252,0.022147061,-1.6484178695827723,0.0003,0.48573821783065796,1.8637680737301707,0.252044677734375,-0.007786792666593101,0.2,,
,,2573424,,,,0.8163059949874878,1256,0.028901802,-1.7264387663453817,0.0003,0.40257716178894043,2.1620462257415056,0.294708251953125,-0.00727926664694678,0.2,-16.002000000000002,160.0
68,2490,2580480,155.41,-15.233399999999996,223,,,,,,,,,,,,
69,2525,2588672,156.79,-15.5321,223,0.7532843351364136,1260,0.02409882,-1.6896110624074936,0.0003,0.3776003122329712,2.008737147785723,0.268463134765625,-0.008660955616505817,0.2,,
70,2561,2596864,156.38,-15.539999999999997,223,0.90648353099823,1264,0.025540601,-1.71229596901685,0.0003,0.5052631497383118,1.8522970452904701,0.27734375,-0.0076262783659331035,0.2,,
71,2597,2605056,155.28,-15.264899999999997,223,0.8659247756004333,1268,0.02881961,-1.7443975824862719,0.0003,0.3949199914932251,2.0309482887387276,0.2908935546875,-0.009361762007756624,0.2,,
72,2629,2613248,150.47,-14.321300000000003,224,1.0620023012161255,1272,0.024188012,-1.7361064292490482,0.0003,0.37039560079574585,2.303044225089252,0.251373291015625,-0.008836316988890758,0.2,,
73,2665,2621440,153.19,-14.6337,224,1.370528221130371,1276,0.024391629,-1.6864593606442213,0.0003,0.4052276015281677,2.65691727027297,0.271026611328125,-0.011477559055492748,0.2,,
,,2623424,,,,1.3417447805404663,1280,0.024181888,-1.7300121588632464,0.0003,0.37829482555389404,2.1760505344718695,0.29193115234375,-0.009138355948380195,0.2,-16.116,160.0
74,2717,2629632,152.03,-14.484900000000003,223,,,,,,,,,,,,
75,2752,2637824,155.3,-15.2964,223,0.9513201713562012,1284,0.02529123,-1.6686903377994895,0.0003,0.31849437952041626,2.3028571577742696,0.286376953125,-0.007273857816471718,0.2,,
76,2786,2646016,154.38,-15.0185,223,0.5136231184005737,1288,0.024995536,-1.7171800527721643,0.0003,0.5462962687015533,1.7171073146164417,0.260009765625,-0.011576069380680565,0.2,,
77,2820,2654208,151.5,-14.4653,223,0.9543883800506592,1292,0.021823684,-1.674687541089952,0.0003,0.5555632710456848,2.364040033891797,0.23846435546875,-0.009408655110746622,0.2,,
78,2855,2662400,154.31,-15.0568,223,1.2368979454040527,1296,0.026285337,-1.7008011871948838,0.0003,0.44530558586120605,2.368243253789842,0.276763916015625,-0.010790125641506165,0.2,,
79,2889,2670592,156.26,-15.5245,223,0.5699873566627502,1300,0.024826426,-1.6277027474716306,0.0003,0.3976573944091797,2.346617174334824,0.269500732421875,-0.005750588879891438,0.2,,
,,2673424,,,,0.709632933139801,1304,0.022992754,-1.6381258415058255,0.0003,0.5126685500144958,2.127292299643159,0.259979248046875,-0.0076863274807692505,0.2,-16.118000000000002,160.0
80,2944,2678784,154.35,-15.2019,222,,,,,,,,,,,,
81,2976,2686976,156.86,-15.557399999999998,222,0.6837897300720215,1308,0.0280703,-1.661291521973908,0.0003,0.5138765573501587,1.9798203399404883,0.30133056640625,-0.007742415938992053,0.2,,
82,3011,2695168,157.12,-15.576799999999999,223,0.8891729116439819,1312,0.021234846,-1.6930407891049981,0.0003,0.48519837856292725,1.9013001434504986,0.26593017578125,-0.008204347708669957,0.2,,
83,3044,2703360,155.6,-15.2824,223,0.8177248239517212,1316,0.02573636,-1.570091220550239,0.0003,0.379422664642334,2.029559100046754,0.266815185546875,-0.00926716461617616,0.2,,
84,3079,2711552,154.78,-15.2257,223,0.8695870637893677,1320,0.026606457,-1.6228355299681425,0.0003,0.4201704263687134,1.9932405408471823,0.26214599609375,-0.008069847572187427,0.2,,
85,3116,2719744,155.94,-15.4606,223,1.038011908531189,1324,0.026036538,-1.5678948611021042,0.0003,0.5034069120883942,2.2236467208713293,0.249420166015625,-0.009211962940753438,0.2,,
,,2723424,,,,1.3409613370895386,1328,0.024181513,-1.576971952803433,0.0003,0.5199317634105682,2.1264987140893936,0.2584228515625,-0.009931350108672632,0.2,-16.224,160.0
86,3167,2727936,158.93,-16.014300000000002,222,,,,,,,,,,,,
87,3198,2736128,159.72,-16.166099999999997,222,0.9336177110671997,1332,0.023739122,-1.6568061830475926,0.0003,0.4577561020851135,1.8929940313100815,0.26483154296875,-0.009918137311615283,0.2,,
88,3232,2744320,157.59,-15.740100000000002,222,0.8182772994041443,1336,0.023847545,-1.6711467457935214,0.0003,0.3330721855163574,2.1138904374092817,0.2708740234375,-0.007251282055221964,0.2,,
89,3266,2752512,156.17,-15.430900000000001,223,1.1744836568832397,1340,0.02285756,-1.6432621218264103,0.0003,0.37152189016342163,2.3970986884087324,0.246734619140625,-0.006518780253827572,0.2,,
90,3301,2760704,157.13,-15.738599999999998,223,0.6345158815383911,1344,0.024881708,-1.6660155430436134,0.0003,0.43942099809646606,2.044581089168787,0.284088134765625,-0.006378758334903978,0.2,,
91,3337,2768896,157.07,-15.727699999999997,223,1.3682314157485962,1348,0.025271196,-1.5516641410067677,0.0003,0.3366330862045288,2.626908973790705,0.258331298828125,-0.00856140763789881,0.2,,
,,2773424,,,,0.7614830136299133,1352,0.023686256,-1.6819514529779553,0.0003,0.4225953221321106,2.4311962919309735,0.2821044921875,-0.00837030998445698,0.2,-16.118000000000002,160.0
92,3390,2777088,158.56,-16.0152,222,,,,,,,,,,,,
93,3424,2785280,158.19,-15.8358,222,0.7333051562309265,1356,0.020768007,-1.6054376130923629,0.0003,0.4489651322364807,2.326655517332256,0.237945556640625,-0.01038387609514757,0.2,,
94,3459,2793472,156.17,-15.309099999999999,222,1.2037643194198608,1360,0.023888202,-1.6741277417168021,0.0003,0.359083354473114,2.704372317530215,0.247589111328125,-0.005163568697753362,0.2,,
95,3492,2801664,156.44,-15.3406,222,1.183397650718689,1364,0.023214955,-1.6597509682178497,0.0003,0.3635520339012146,2.3854078268632293,0.251068115234375,-0.009731151316373143,0.2,,
96,3524,2809856,154.28,-15.135900000000001,223,1.1615897417068481,1368,0.023076352,-1.5693189660087228,0.0003,0.3890918493270874,2.4303913339972496,0.2396240234375,-0.007036711238470161,0.2,,
97,3559,2818048,154.63,-15.2739,223,0.8705033659934998,1372,0.023075543,-1.6498897327110171,0.0003,0.38547760248184204,2.170501039363444,0.2855224609375,-0.008563160961784888,0.2,,
,,2823424,,,,0.7115499973297119,1376,0.02317569,-1.7245567319914699,0.0003,0.37052541971206665,1.9032947132363915,0.280303955078125,-0.008413117277086712,0.2,-16.002000000000002,160.0
98,3611,2826240,158.81,-16.028299999999998,222,,,,,,,,,,,,
99,3647,2834432,151.95,-14.718300000000001,222,0.8116204142570496,1380,0.026217086,-1.6630373913794756,0.0003,0.4188849925994873,2.056379140354693,0.27838134765625,-0.012728666595648974,0.2,,
100,3682,2842624,150.7,-14.477000000000002,222,0.6318584084510803,1384,0.024181357,-1.6688187066465616,0.0003,0.3253876566886902,2.0489491536282003,0.286834716796875,-0.005638793092657579,0.2,,
101,3718,2850816,156.26,-15.506400000000001,222,1.3012362718582153,1388,0.024046129,-1.6981785306707025,0.0003,0.44852215051651,2.2062243884429336,0.266998291015625,-0.005210988347243983,0.2,,
102,3755,2859008,158.49,-15.829,222,0.5930080413818359,1392,0.026051942,-1.723105674609542,0.0003,0.48375147581100464,1.5977720273658633,0.27642822265625,-0.008658665508846752,0.2,,
103,3792,2867200,149.8,-14.284599999999998,222,0.8246800899505615,1396,0.023388479,-1.711063108406961,0.0003,0.462952196598053,1.9199600974097848,0.257598876953125,-0.009060607819264987,0.2,,
,,2873424,,,,0.951452910900116,1400,0.02428407,-1.6723441183567047,0.0003,0.4028804302215576,2.2726277615875006,0.273529052734375,-0.005089089627290377,0.2,-16.119999999999997,160.0
104,3849,2875392,146.38,-13.5078,221,,,,,,,,,,,,
105,3891,2883584,155.09,-15.098999999999998,221,1.1730716228485107,1404,0.023473997,-1.7154604848474264,0.0003,0.3711767792701721,2.6833021035417914,0.257537841796875,-0.006400645750545664,0.2,,
106,3934,2891776,154.73,-15.1393,220,1.1990326642990112,1408,0.02497704,-1.6910580983385444,0.0003,0.46882396936416626,1.9411638444289565,0.265380859375,-0.004719231314084027,0.2,,
107,3980,2899968,154.86,-15.196999999999997,220,0.7619839310646057,1412,0.029139455,-1.6870381832122803,0.0003,0.49708908796310425,1.8604717766866088,0.26849365234375,-0.008977969548141118,0.2,,
108,4025,2908160,152.9,-14.8333,219,0.8216827511787415,1416,0.023924539,-1.70268630143255,0.0003,0.4753628969192505,1.8403580477461219,0.268096923828125,-0.00997207406180678,0.2,,
109,4067,2916352,152.57,-14.8851,219,0.6260846257209778,1420,0.024763733,-1.6379255428910255,0.0003,0.41164088249206543,2.1810430232435465,0.268951416015625,-0.00729248255447601,0.2,,
,,2923424,,,,0.5958680510520935,1424,0.024244815,-1.625379185192287,0.0003,0.44078028202056885,1.854050218127668,0.260894775390625,-0.009702287654363317,0.2,-16.006000000000004,160.0
110,4130,2924544,156.99,-15.7465,218,,,,,,,,,,,,
111,4174,2932736,155.56,-15.471699999999998,217,0.9530696868896484,1428,0.02574858,-1.6863310504704714,0.0003,0.4819398522377014,1.803250340744853,0.279052734375,-0.0064420048274769215,0.2,,
112,4217,2940928,153.31,-14.953800000000001,217,0.8395603895187378,1432,0.025925858,-1.6828499836847186,0.0003,0.5697618424892426,2.1316016810014844,0.26324462890625,-0.006711252772220178,0.2,,
113,4258,2949120,155.14,-15.170200000000001,217,0.5992474555969238,1436,0.02499633,-1.6887115333229303,0.0003,0.5154775083065033,1.9314703335985541,0.28082275390625,-0.010811653944983846,0.2,,
114,4297,2957312,156.82,-15.392299999999999,217,1.1564321517944336,1440,0.022382665,-1.748305811546743,0.0003,0.3897409439086914,2.4460492823272943,0.267730712890625,-0.008381653609831119,0.2,,
115,4337,2965504,156.55,-15.474199999999998,217,0.8448032736778259,1444,0.02413253,-1.7617185106500983,0.0003,0.4146397113800049,2.2219156264327466,0.2740478515625,-0.008119338050164515,0.2,,
,,2973424,,,,1.1899347305297852,1448,0.027626585,-1.6841592555865645,0.0003,0.3173656463623047,2.3296903613954782,0.284912109375,-0.0035686495266418206,0.2,-16.12,160.0
116,4398,2973696,158.07,-15.869300000000003,216,,,,,,,,,,,,
117,4439,2981888,157.38,-15.771399999999998,215,1.3532661199569702,1452,0.025348946,-1.672656507231295,0.0003,0.4206019639968872,2.3366687819361687,0.263427734375,-0.008235439341660822,0.2,,
118,4480,2990080,155.93,-15.448099999999997,215,0.6887515783309937,1456,0.024694301,-1.7426971392706037,0.0003,0.4935442805290222,2.0280310939997435,0.266082763671875,-0.008717067790712463,0.2,,
119,4522,2998272,157.07,-15.736299999999998,215,0.9391406178474426,1460,0.026192533,-1.6558345425873995,0.0003,0.379538893699646,2.157834538258612,0.27508544921875,-0.011715873228240525,0.2,,
120,4561,3006464,158.57,-16.0146,215,0.8529189229011536,1464,0.023320898,-1.6962836533784866,0.0003,0.4696093797683716,2.1498375311493874,0.26214599609375,-0.008503652185027022,0.2,,
121,4600,3014656,154.21,-14.926099999999998,215,1.0926570892333984,1468,0.024181215,-1.6055811997503042,0.0003,0.43018609285354614,2.3697787541896105,0.2666015625,-0.008655490299133817,0.2,,
122,4641,3022848,152.82,-14.570699999999999,215,1.3140002489089966,1472,0.027021104,-1.6097670793533325,0.0003,0.4115617871284485,2.7660624058917165,0.28961181640625,-0.005664811389578972,0.2,,
,,3023424,,,,1.3595064878463745,1476,0.02411893,-1.6743606152012944,0.0003,0.4887368679046631,2.385030564852059,0.26763916015625,-0.009887903215712868,0.2,-16.288,160.0
123,4704,3031040,155.32,-15.186900000000001,214,,,,,,,,,,,,
