time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
1,6103040,176,123.45,-11.296650000000001,46,,,,,,,,,,,,
2,6111232,168,123.8,-11.1568,97,0.35015869140625,0.043518346,-0.019319207211083267,0.0003,1.892463787458837,2980,-1.6892972774803638,0.2,0.560187578201294,0.47251102328300476,,
3,6119424,160,119.0,-9.753400000000001,153,0.33392333984375,0.039523695,-0.01936028365525999,0.0003,2.2220452958717942,2984,-1.6493283584713936,0.2,0.5444511771202087,0.6526263952255249,,
4,6127616,161,132.42,-12.556819999999998,203,0.361297607421875,0.045643836,-0.01906934679936967,0.0003,1.887441210448742,2988,-1.6145664816722274,0.2,0.5704707503318787,0.6487618088722229,,
5,6135808,157,132.77,-12.54187,259,0.33087158203125,0.039496668,-0.014720895378559362,0.0003,2.4428221061825752,2992,-1.6262790067121387,0.2,0.5654273927211761,0.7142511010169983,,
6,6144000,158,127.63,-11.59933,309,0.34735107421875,0.045340993,-0.021260233799694106,0.0003,1.7293526651337743,2996,-1.6481769336387515,0.2,0.6067639291286469,0.46640801429748535,,
,6144848,,,,,0.33990478515625,0.04530131,-0.016862756470800377,0.0003,2.1847456176765263,3000,-1.564986851066351,0.2,0.49305564165115356,0.5676195025444031,-10.969399999999998,131.4
7,6152192,154,119.36,-10.28836,372,,,,,,,,,,,,
8,6160384,152,111.83,-8.781030000000001,430,0.3565673828125,0.04511455,-0.0176363077989663,0.0003,2.1152370679192245,3004,-1.599789585918188,0.2,0.5730314552783966,0.857233464717865,,
9,6168576,154,123.88,-11.137880000000001,478,0.33306884765625,0.040318724,-0.016188167021027766,0.0003,2.121805876493454,3008,-1.56964894477278,0.2,0.5933872759342194,0.9663633108139038,,
10,6176768,153,127.93,-12.118129999999997,534,0.331085205078125,0.04070805,-0.01271641379025823,0.0003,2.182991174980998,3012,-1.6082065273076296,0.2,0.5616303384304047,0.626941442489624,,
11,6184960,154,122.36,-10.961060000000002,583,0.322845458984375,0.042007215,-0.01807668379478855,0.0003,2.047996229492128,3016,-1.5507132075726986,0.2,0.5721301138401031,0.7331355214118958,,
12,6193152,155,121.14,-10.464340000000002,633,0.3424072265625,0.044189118,-0.021090575839480152,0.0003,1.815584542695433,3020,-1.5545179499313235,0.2,0.6488685309886932,0.796065092086792,,
,6194848,,,,,0.343353271484375,0.04388586,-0.01914960512658581,0.0003,2.276778400875628,3024,-1.5973159885033965,0.2,0.5558800399303436,0.44723111391067505,-8.2322,100.2
13,6201344,151,122.93,-10.693230000000002,702,,,,,,,,,,,,
14,6209536,153,115.44,-10.00904,748,0.366241455078125,0.04524206,-0.01791215010234737,0.0003,1.9606566382572055,3028,-1.6493285279721022,0.2,0.6416553854942322,0.898209273815155,,
15,6217728,153,115.83,-9.561130000000002,802,0.336456298828125,0.040985033,-0.014012088769959519,0.0003,2.2001432343386114,3032,-1.675012854859233,0.2,0.535405695438385,0.7690337300300598,,
16,6225920,154,117.19,-9.521090000000001,850,0.362518310546875,0.046071403,-0.02178490936785238,0.0003,1.859586106147617,3036,-1.6668502166867256,0.2,0.5898861289024353,0.4749199151992798,,
17,6234112,155,122.98,-11.012080000000001,895,0.33868408203125,0.04546583,-0.01673427467540023,0.0003,1.8857142203487456,3040,-1.5921276435256004,0.2,0.4948289394378662,0.5907999277114868,,
18,6242304,155,137.33,-14.17513,949,0.345001220703125,0.039757323,-0.022192943113623187,0.0003,1.7817417266778648,3044,-1.6525435075163841,0.2,0.47275876998901367,0.6827854514122009,,
,6244848,,,,,0.346343994140625,0.038251422,-0.01646058428377728,0.0003,1.9824642287567258,3048,-1.671448609791696,0.2,0.36442601680755615,0.673627495765686,-7.9804,98.4
19,6250496,154,129.25,-12.324850000000001,1007,,,,,,,,,,,,
20,6258688,153,118.36,-9.924760000000001,1065,0.34027099609375,0.039498113,-0.019518713615980232,0.0003,1.9802633342333138,3052,-1.6754048075526953,0.2,0.5657834708690643,0.8952882289886475,,
21,6266880,154,121.48,-10.704879999999998,1114,0.333251953125,0.03717811,-0.013819004245306132,0.0003,2.3106495114043355,3056,-1.6031606681644917,0.2,0.49021321535110474,0.8250774145126343,,
22,6275072,154,117.36,-10.252159999999998,1169,0.348114013671875,0.041265905,-0.01804136131249834,0.0003,2.296154669020325,3060,-1.6222915798425674,0.2,0.5260580778121948,0.6721571087837219,,
23,6283264,154,121.68,-11.10578,1215,0.3348388671875,0.037713293,-0.01728200335492147,0.0003,2.3317754520103335,3064,-1.6320872204378247,0.2,0.5502938032150269,1.1667437553405762,,
24,6291456,155,119.35,-10.49315,1262,0.35260009765625,0.041224428,-0.020048118014528882,0.0003,2.2163113048300147,3068,-1.620441785082221,0.2,0.5701425969600677,0.6546621918678284,,
,6294848,,,,,0.32293701171875,0.03911744,-0.01974441617130651,0.0003,2.489952079951763,3072,-1.6050013080239296,0.2,0.5667784810066223,0.8566376566886902,-17.509999999999998,160.0
25,6299648,154,110.28,-8.58258,1325,,,,,,,,,,,,
26,6307840,155,117.69,-10.027989999999999,1371,0.340667724609375,0.04648849,-0.020174710040009813,0.0003,2.167528180871159,3076,-1.6218117848038673,0.2,0.5790363252162933,0.5214071273803711,,
27,6316032,155,122.18,-10.68988,1424,0.357452392578125,0.043087825,-0.022308471881842706,0.0003,2.1199704175814986,3080,-1.6397972386330366,0.2,0.533099889755249,0.5350995063781738,,
28,6324224,156,125.74,-11.72314,1469,0.320770263671875,0.037779577,-0.016862177471921314,0.0003,2.208207766059786,3084,-1.5319486996158957,0.2,0.5977159738540649,0.5373976230621338,,
29,6332416,156,121.32,-11.049920000000002,1515,0.322052001953125,0.03820665,-0.016251737593847793,0.0003,2.3078291290439665,3088,-1.612075412645936,0.2,0.4996272325515747,0.7427489757537842,,
30,6340608,156,123.32,-12.03932,1570,0.346954345703125,0.0408303,-0.014835025915090227,0.0003,2.0871335580013692,3092,-1.6374657955020666,0.2,0.5599075257778168,0.887732207775116,,
,6344848,,,,,0.333587646484375,0.039606407,-0.019638966743514175,0.0003,2.1656144480220973,3096,-1.6728197010233998,0.2,0.5284472405910492,0.7510550022125244,-11.9846,128.6
31,6348800,156,128.82,-12.97492,1626,,,,,,,,,,,,
32,6356992,155,138.34,-14.526340000000003,1682,0.36651611328125,0.041023545,-0.017924891191796632,0.0003,1.7136324481107295,3100,-1.6766560850664973,0.2,0.528498649597168,0.5387620329856873,,
33,6365184,156,138.55,-13.83905,1730,0.35675048828125,0.045972295,-0.017830377670179587,0.0003,1.758306941948831,3104,-1.6736144497990608,0.2,0.5410078167915344,0.5761337876319885,,
34,6373376,156,135.43,-13.485330000000001,1776,0.33056640625,0.042251397,-0.014200382174749393,0.0003,1.732482759281993,3108,-1.6201676605269313,0.2,0.5208254158496857,0.5564956665039062,,
35,6381568,156,138.13,-13.466330000000003,1832,0.34033203125,0.03669136,-0.015093257807166083,0.0003,2.2466497411951423,3112,-1.6386257149279118,0.2,0.4752490520477295,0.8945087194442749,,
36,6389760,156,129.32,-11.40122,1879,0.342132568359375,0.037875578,-0.020680570487456862,0.0003,2.055377545300871,3116,-1.631019001826644,0.2,0.5561366975307465,0.5059646368026733,,
,6394848,,,,,0.34735107421875,0.039226603,-0.018376124950009398,0.0003,1.9940629405900836,3120,-1.6735825221985579,0.2,0.5333506762981415,0.38084644079208374,-17.512,160.0
37,6397952,155,127.84,-11.839839999999999,1947,,,,,,,,,,,,
38,6406144,156,120.25,-10.342150000000002,1995,0.319183349609375,0.03868738,-0.016100450015073875,0.0003,2.3675685711205006,3124,-1.543474425561726,0.2,0.5278277695178986,0.9221309423446655,,
39,6414336,156,123.94,-10.915640000000002,2044,0.336395263671875,0.039997455,-0.017997639584791614,0.0003,1.9718183153308928,3128,-1.6403357619419694,0.2,0.49977171421051025,0.5872888565063477,,
40,6422528,156,124.13,-11.470629999999998,2099,0.329864501953125,0.037527263,-0.017534148202685174,0.0003,2.0224227351136506,3132,-1.6626781867817044,0.2,0.5273524522781372,0.659192681312561,,
41,6430720,156,124.44,-11.06894,2146,0.3438720703125,0.043402098,-0.018541731289587915,0.0003,1.9550533154979348,3136,-1.6004323372617364,0.2,0.4673624038696289,0.29797983169555664,,
42,6438912,155,126.9,-11.5681,2206,0.338775634765625,0.041824862,-0.01520789739151951,0.0003,2.1974285393953323,3140,-1.6109050158411264,0.2,0.5884344577789307,0.7901369333267212,,
,6444848,,,,,0.35174560546875,0.039699223,-0.019470842576993164,0.0003,1.9367040572687984,3144,-1.6243074778467417,0.2,0.5858879685401917,0.5502008199691772,-11.9948,128.8
43,6447104,155,117.05,-9.30105,2266,,,,,,,,,,,,
44,6455296,155,117.35,-9.60245,2323,0.33966064453125,0.041038252,-0.02132007265390712,0.0003,1.7831671363674104,3148,-1.6320400293916464,0.2,0.6022617518901825,0.5677517056465149,,
45,6463488,155,121.01,-10.440710000000001,2374,0.343994140625,0.041036848,-0.021321474414435215,0.0003,1.933478600345552,3152,-1.6250679828226566,0.2,0.598955899477005,0.6215999722480774,,
46,6471680,155,118.52,-10.33312,2423,0.34039306640625,0.044742815,-0.01925234625377925,0.0003,2.226642604917288,3156,-1.602367921732366,0.2,0.5151787996292114,0.6368897557258606,,
47,6479872,155,122.72,-11.16672,2481,0.3323974609375,0.04293977,-0.01789312615073868,0.0003,2.118974031880498,3160,-1.5641374327242374,0.2,0.5695509016513824,0.6057647466659546,,
48,6488064,155,134.78,-13.611580000000002,2528,0.335723876953125,0.03963861,-0.017959733264433453,0.0003,1.9392897500656545,3164,-1.6351555632427335,0.2,0.42422544956207275,0.6866442561149597,,
,6494848,,,,,0.31072998046875,0.034025826,-0.0181531752095907,0.0003,1.9186222795397043,3168,-1.6441011037677526,0.2,0.5334857702255249,0.9685171842575073,-8.075999999999999,100.0
49,6496256,155,130.84,-12.902039999999998,2588,,,,,,,,,,,,
50,6504448,155,124.57,-11.690670000000003,2634,0.340728759765625,0.03688734,-0.02011457686239737,0.0003,1.9030522778630257,3172,-1.6345874704420567,0.2,0.5849948525428772,0.5721914768218994,,
51,6512640,155,119.26,-10.629660000000001,2681,0.355133056640625,0.039722763,-0.016962431229330832,0.0003,2.4349983176216483,3176,-1.6657385751605034,0.2,0.5191476345062256,1.0871825218200684,,
52,6520832,155,120.6,-11.220799999999999,2734,0.338623046875,0.041395977,-0.020725673290144186,0.0003,2.0710506457835436,3180,-1.645231612958014,0.2,0.48968422412872314,0.687591552734375,,
53,6529024,155,122.54,-10.988140000000001,2784,0.3232421875,0.035629705,-0.02194185928965453,0.0003,1.9522735411301255,3184,-1.7243665466085076,0.2,0.6092044711112976,0.7834359407424927,,
54,6537216,155,120.89,-10.454089999999999,2838,0.337310791015625,0.038227443,-0.01916872185029206,0.0003,2.2369758682325482,3188,-1.6778136333450675,0.2,0.5565313398838043,0.881418764591217,,
,6544848,,,,,0.3536376953125,0.04162892,-0.017168421923997812,0.0003,2.1627978682518005,3192,-1.6067847833037376,0.2,0.6059237718582153,1.039840817451477,-16.28,160.0
55,6545408,155,130.9,-12.637,2899,,,,,,,,,,,,
56,6553600,155,127.25,-11.860250000000002,2949,0.330902099609375,0.03720268,-0.016823621994262794,0.0003,1.885776586830616,3196,-1.6395858321338892,0.2,0.511871337890625,0.7530679702758789,,
57,6561792,155,126.43,-11.647129999999999,3008,0.30810546875,0.03286957,-0.016600771316007013,0.0003,2.7309484109282494,3200,-1.5964328274130821,0.2,0.4983304738998413,1.1230204105377197,,
58,6569984,155,126.68,-11.72698,3054,0.32928466796875,0.042571284,-0.018560044412879506,0.0003,2.0727370344102383,3204,-1.6092585679143667,0.2,0.5011733770370483,0.7488961815834045,,
59,6578176,155,127.68,-11.765979999999999,3106,0.325714111328125,0.037424557,-0.019793060622760095,0.0003,2.1172173526138067,3208,-1.5604798952117562,0.2,0.5635630190372467,0.8391779065132141,,
60,6586368,155,136.36,-13.983860000000002,3152,0.310943603515625,0.03383791,-0.018321660441870335,0.0003,2.3458404541015625,3212,-1.613349499180913,0.2,0.5339358747005463,0.6809654831886292,,
61,6594560,156,132.93,-13.308730000000002,3197,0.316436767578125,0.03560797,-0.017403529745934065,0.0003,2.1672734124585986,3216,-1.5396959194913507,0.2,0.5296343564987183,0.6434783339500427,,
,6594848,,,,,0.339385986328125,0.043882195,-0.021349337224819465,0.0003,1.9480731822550297,3220,-1.6286310628056526,0.2,0.4644201993942261,0.929253101348877,-13.485399999999998,129.4
62,6602752,155,124.85,-11.63425,3257,,,,,,,,,,,,
63,6610944,156,122.36,-10.75096,3303,0.338531494140625,0.03805385,-0.017646825363044627,0.0003,2.02209419477731,3224,-1.6151328021660447,0.2,0.5853935778141022,0.8146592378616333,,
64,6619136,156,128.42,-11.632719999999997,3356,0.340972900390625,0.037778378,-0.0175085914452211,0.0003,2.258042926900089,3228,-1.6027859402820468,0.2,0.5353932082653046,0.6751257181167603,,
65,6627328,156,134.98,-13.272879999999997,3401,0.3531494140625,0.041763663,-0.018858891693525948,0.0003,2.194677392952144,3232,-1.5562529740855098,0.2,0.5694898962974548,0.89869225025177,,
66,6635520,156,125.65,-11.87965,3455,0.328765869140625,0.03833908,-0.01737236638291506,0.0003,2.2818941082805395,3236,-1.6243548449128866,0.2,0.4882470369338989,0.7979391813278198,,
67,6643712,156,124.34,-10.841039999999998,3503,0.335601806640625,0.0384035,-0.013600159974885173,0.0003,2.6324382573366165,3240,-1.594756563194096,0.2,0.5081994235515594,0.7354802489280701,,
,6644848,,,,,0.309326171875,0.03352871,-0.020182630272756796,0.0003,2.395607297308743,3244,-1.5430974112823606,0.2,0.5433070361614227,0.7025211453437805,-6.8924,100.4
68,6651904,156,128.19,-12.156590000000003,3555,,,,,,,,,,,,
69,6660096,156,133.97,-13.21207,3608,0.32440185546875,0.039286137,-0.016635230676911306,0.0003,2.2230569114908576,3248,-1.5810052920132875,0.2,0.47383368015289307,0.7514748573303223,,
70,6668288,156,127.34,-12.144940000000002,3655,0.32244873046875,0.035984077,-0.01869778703985503,0.0003,2.0012789266183972,3252,-1.6299024103209376,0.2,0.4007064700126648,0.6667540669441223,,
71,6676480,156,129.16,-12.51286,3707,0.315948486328125,0.035385806,-0.02049730961516616,0.0003,2.170466447249055,3256,-1.5770984562113881,0.2,0.46740907430648804,0.7508988976478577,,
72,6684672,157,129.01,-12.57351,3754,0.32940673828125,0.03929396,-0.021467212471179664,0.0003,1.9731181701645255,3260,-1.6017253752797842,0.2,0.565581887960434,0.7405243515968323,,
73,6692864,157,132.68,-13.355780000000003,3800,0.323455810546875,0.03616964,-0.01415299616928678,0.0003,2.256832650862634,3264,-1.5711580449715257,0.2,0.5535120666027069,1.0617077350616455,,
,6694848,,,,,0.32769775390625,0.037207346,-0.016730186962377047,0.0003,2.1626361403614283,3268,-1.5334799652919173,0.2,0.48769527673721313,0.6992742419242859,-12.1992,129.2
74,6701056,156,138.42,-14.335320000000001,3862,,,,,,,,,,,,
75,6709248,157,140.8,-14.902499999999998,3909,0.354461669921875,0.039660417,-0.016295342771627475,0.0003,2.3709853999316692,3272,-1.6224357057362795,0.2,0.38974660634994507,1.0720349550247192,,
76,6717440,157,132.07,-12.86987,3963,0.35333251953125,0.03783159,-0.0204180462678778,0.0003,2.0591362100094557,3276,-1.5966835049912333,0.2,0.5368563830852509,0.5045978426933289,,
77,6725632,157,118.06,-9.60286,4011,0.356658935546875,0.04259141,-0.019712974135472905,0.0003,2.3046522065997124,3280,-1.5951057504862547,0.2,0.4805923104286194,0.46197807788848877,,
78,6733824,157,122.54,-10.841039999999998,4056,0.333709716796875,0.036772586,-0.009248380054486915,0.0003,2.9576245471835136,3284,-1.5082494355738163,0.2,0.5411553978919983,1.0959893465042114,,
79,6742016,157,116.71,-10.312709999999997,4109,0.34033203125,0.04310367,-0.01581264944616123,0.0003,2.407539681531489,3288,-1.5708405142650008,0.2,0.566534012556076,0.5299532413482666,,
,6744848,,,,,0.362213134765625,0.04305111,-0.018780661786877317,0.0003,2.3823772850446403,3292,-1.6120728738605976,0.2,0.5833697319030762,0.630982518196106,-18.944,160.0
80,6750208,157,125.7,-11.814499999999999,4166,,,,,,,,,,,,
81,6758400,157,131.44,-12.08034,4224,0.343231201171875,0.04078279,-0.016234958144195843,0.0003,2.085185027681291,3296,-1.5605982160195708,0.2,0.6095950305461884,1.0294133424758911,,
82,6766592,157,118.74,-10.029240000000001,4273,0.338104248046875,0.038451392,-0.01790243914729217,0.0003,2.1875841980800033,3300,-1.6071521546691656,0.2,0.4902210831642151,0.861395537853241,,
83,6774784,157,120.95,-10.248749999999998,4322,0.338104248046875,0.038286988,-0.017764474501746008,0.0003,2.8084687115624547,3304,-1.6114294109866023,0.2,0.5100838243961334,0.7797195911407471,,
84,6782976,157,115.44,-9.291339999999998,4378,0.318939208984375,0.035065323,-0.015698457558755763,0.0003,2.371368787251413,3308,-1.6339164171367884,0.2,0.5462506413459778,0.7962196469306946,,
85,6791168,157,126.9,-11.857099999999997,4425,0.322357177734375,0.03794343,-0.015797842599567957,0.0003,2.3990908302366734,3312,-1.5753513323143125,0.2,0.6175243556499481,0.9247031807899475,,
,6794848,,,,,0.345794677734375,0.041011065,-0.01848628387961071,0.0003,2.3383101439103484,3316,-1.6738194953650236,0.2,0.45821690559387207,0.7363541722297668,-13.3306,128.6
86,6799360,156,130.63,-12.547329999999997,4488,,,,,,,,,,,,
87,6807552,157,129.12,-12.621220000000001,4532,0.339874267578125,0.042156145,-0.015281450978363864,0.0003,2.278057936578989,3320,-1.618634738959372,0.2,0.43379735946655273,0.8515434861183167,,
88,6815744,157,128.57,-12.458370000000002,4586,0.33209228515625,0.03582786,-0.018193573545431718,0.0003,2.290451237000525,3324,-1.6289466712623835,0.2,0.5789513885974884,0.8673394322395325,,
89,6823936,157,133.65,-13.72885,4635,0.332763671875,0.03540832,-0.016044805830460973,0.0003,2.45124498475343,3328,-1.6216923873871565,0.2,0.5682772994041443,1.2524830102920532,,
90,6832128,157,125.46,-11.822359999999998,4683,0.32379150390625,0.03797097,-0.01661146738115349,0.0003,2.1413444625213742,3332,-1.6637897081673145,0.2,0.44899147748947144,0.9976819157600403,,
91,6840320,157,128.28,-12.349979999999999,4740,0.315338134765625,0.035727836,-0.0216695313101809,0.0003,2.432211314328015,3336,-1.596016900613904,0.2,0.588241696357727,0.9016441702842712,,
,6844848,,,,,0.3140869140625,0.036355715,-0.01916543615516275,0.0003,1.9478799453936517,3340,-1.670842063613236,0.2,0.5865154266357422,0.44461989402770996,-20.491999999999997,160.0
92,6848512,157,124.47,-11.232170000000002,4798,,,,,,,,,,,,
93,6856704,156,130.24,-12.41434,4854,0.311981201171875,0.03389104,-0.015908522240351886,0.0003,2.460613939911127,3344,-1.595749937929213,0.2,0.44567281007766724,0.5673512816429138,,
94,6864896,157,133.25,-13.591550000000002,4903,0.334197998046875,0.036509357,-0.01867288933863165,0.0003,2.124415504746139,3348,-1.6075847772881389,0.2,0.41102832555770874,0.779028594493866,,
95,6873088,157,128.71,-12.73861,4956,0.3333740234375,0.038601927,-0.01797802526198211,0.0003,1.9512491109780967,3352,-1.6653762701898813,0.2,0.4814918637275696,0.5396182537078857,,
96,6881280,156,127.72,-12.139519999999997,5014,0.319244384765625,0.03419997,-0.019054684256843757,0.0003,2.63613751064986,3356,-1.6212109858170152,0.2,0.5522983074188232,1.0631070137023926,,
97,6889472,156,132.26,-13.031459999999997,5063,0.349761962890625,0.044699084,-0.014018992078490555,0.0003,2.2042814111337066,3360,-1.6172292530536652,0.2,0.5205725431442261,0.8278658986091614,,
,6894848,,,,,0.353363037109375,0.03776652,-0.019921738876291784,0.0003,1.99864405952394,3364,-1.6387422969564795,0.2,0.560257077217102,0.5561175346374512,-17.542,160.0
98,6897664,156,126.42,-11.908520000000001,5136,,,,,,,,,,,,
99,6905856,156,131.47,-12.884469999999999,5189,0.3455810546875,0.039285332,-0.017170360551972408,0.0003,2.1235153321176767,3368,-1.5960884355008602,0.2,0.482272744178772,0.6885921359062195,,
100,6914048,156,132.17,-13.023769999999999,5236,0.343963623046875,0.0451282,-0.01505442201596452,0.0003,2.33907101303339,3372,-1.5798082500696182,0.2,0.5016665458679199,0.6644272208213806,,
101,6922240,156,128.91,-12.157610000000002,5294,0.33453369140625,0.037467152,-0.01563716563396156,0.0003,2.470968118868768,3376,-1.556014691479504,0.2,0.44158637523651123,0.8110167384147644,,
102,6930432,156,129.59,-12.338289999999999,5341,0.3370361328125,0.03746169,-0.014380379339854699,0.0003,2.146277871914208,3380,-1.5935456482693553,0.2,0.4632987380027771,0.6649655103683472,,
103,6938624,156,134.32,-13.37722,5398,0.359130859375,0.039987046,-0.011426816952734953,0.0003,2.1255489541217685,3384,-1.6005099341273308,0.2,0.496945321559906,0.5317575335502625,,
,6944848,,,,,0.32745361328125,0.03588187,-0.01615469241005485,0.0003,2.449434807524085,3388,-1.6035164510831237,0.2,0.5057364404201508,1.1070481538772583,-12.085400000000002,129.4
104,6946816,156,130.52,-12.595920000000001,5456,,,,,,,,,,,,
105,6955008,156,121.97,-10.52597,5512,0.332977294921875,0.03862346,-0.019127609386487165,0.0003,2.117091665044427,3392,-1.595350087620318,0.2,0.5575717687606812,0.7834980487823486,,
106,6963200,156,122.54,-10.954439999999998,5566,0.339813232421875,0.043908756,-0.017384689188475022,0.0003,2.073332977015525,3396,-1.6229246305301785,0.2,0.5616312921047211,0.6422171592712402,,
107,6971392,155,117.11,-9.820509999999999,5619,0.32720947265625,0.0364936,-0.015946814583003288,0.0003,1.7685143994167447,3400,-1.5520289335399866,0.2,0.6355416774749756,0.6928129196166992,,
108,6979584,155,134.1,-13.363700000000001,5674,0.354461669921875,0.04120791,-0.01781398244202137,0.0003,2.0143773164600134,3404,-1.6055473107844591,0.2,0.5242660641670227,0.5303851366043091,,
109,6987776,155,136.9,-13.9305,5724,0.335723876953125,0.038778264,-0.018375145366007928,0.0003,2.2412173356860876,3408,-1.5957229007035494,0.2,0.5156164169311523,0.6260843873023987,,
,6994848,,,,,0.334136962890625,0.034737438,-0.01416981196962297,0.0003,2.1905023772269487,3412,-1.6148448688909411,0.2,0.5508487820625305,0.993586003780365,-12.0912,129.2
110,6995968,155,121.17,-10.691569999999999,5793,,,,,,,,,,,,
111,7004160,155,120.84,-10.283040000000002,5847,0.32940673828125,0.03683068,-0.018564472935395315,0.0003,2.477642972022295,3416,-1.6006014663726091,0.2,0.5220998823642731,0.6713662147521973,,
112,7012352,155,126.49,-11.26569,5896,0.331695556640625,0.037376948,-0.019181485924491426,0.0003,2.337168438360095,3420,-1.5901935147121549,0.2,0.5572203993797302,0.7571430206298828,,
113,7020544,155,128.41,-12.182309999999998,5954,0.32073974609375,0.037717465,-0.02026911263965303,0.0003,2.1512914188206196,3424,-1.5782447196543217,0.2,0.5544980764389038,0.8279278874397278,,
114,7028736,155,122.98,-11.65888,6002,0.323699951171875,0.036981586,-0.01944951800032868,0.0003,2.170362743549049,3428,-1.631439073011279,0.2,0.5296118259429932,0.5808414220809937,,
115,7036928,155,117.15,-10.325749999999998,6071,0.336517333984375,0.03595887,-0.015993264394637663,0.0003,2.300992692820728,3432,-1.6570364041253924,0.2,0.4632715582847595,0.9456191658973694,,
,7044848,,,,,0.3221435546875,0.03732438,-0.019220774083805736,0.0003,2.371302926912904,3436,-1.588261022232473,0.2,0.5648058652877808,0.6607616543769836,-16.16,160.0
116,7045120,154,128.05,-11.993850000000002,6140,,,,,,,,,,,,
117,7053312,154,130.86,-12.26146,6189,0.316162109375,0.034182876,-0.01722884822447668,0.0003,2.2342281877063215,3440,-1.5569638088345528,0.2,0.567084401845932,0.8151986598968506,,
118,7061504,154,130.65,-12.54175,6247,0.336181640625,0.037778266,-0.01577789874500013,0.0003,2.608658595941961,3444,-1.6349215423688293,0.2,0.4778638482093811,0.9792933464050293,,
119,7069696,154,122.78,-10.581479999999999,6296,0.348297119140625,0.039480805,-0.020236159936757758,0.0003,2.2684232173487544,3448,-1.658811484463513,0.2,0.5398604869842529,0.865704357624054,,
120,7077888,154,125.68,-11.515180000000003,6354,0.34130859375,0.03618629,-0.01700218188125291,0.0003,2.2739524161443114,3452,-1.648506018333137,0.2,0.5904061794281006,0.9116606712341309,,
121,7086080,154,122.38,-11.241879999999998,6405,0.324737548828125,0.03601914,-0.019494397256494267,0.0003,2.628460668027401,3456,-1.634953610599041,0.2,0.5251653492450714,1.36882483959198,,
122,7094272,154,131.11,-13.01661,6456,0.3294677734375,0.03389763,-0.017449904269597027,0.0003,2.1839141082018614,3460,-1.6097393287345767,0.2,0.4648083448410034,0.9619722366333008,,
,7094848,,,,,0.32769775390625,0.03798145,-0.01824177119851811,0.0003,2.2160224318504333,3464,-1.6325048934668303,0.2,0.5252479612827301,0.7815581560134888,-17.517999999999997,160.0
123,7102464,154,130.96,-12.622660000000002,6524,,,,,,,,,,,,
